Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-06-02,2014,6,2,Monday,22,2014-22,192.95,192.99,191.97,192.9,64656000.0,170.45,0.0011418553388211627,167.93428571428578,165.73620000000005
2014-06-03,2014,6,3,Tuesday,22,2014-22,192.43,192.9,192.25,192.8,65047000.0,170.37,-0.0005181320712204229,168.11357142857148,165.85300000000007
2014-06-04,2014,6,4,Wednesday,22,2014-22,192.47,193.3,192.27,193.19,55529000.0,170.71,0.0020227299169224278,168.37428571428578,165.99020000000004
2014-06-05,2014,6,5,Thursday,22,2014-22,193.41,194.65,192.7,194.45,92103000.0,171.82,0.006521809277390878,168.81928571428577,166.13400000000004
2014-06-06,2014,6,6,Friday,22,2014-22,194.87,195.43,194.78,195.38,78696000.0,172.65,0.004782847039919602,169.2821428571429,166.31800000000004
2014-06-09,2014,6,9,Monday,23,2014-23,195.35,196.05,195.17,195.58,65119000.0,172.82,0.0010236408719241918,169.71357142857147,166.5124
2014-06-10,2014,6,10,Tuesday,23,2014-23,195.34,195.64,194.92,195.6,57129000.0,172.84,0.00010250662695199253,170.22142857142862,166.69100000000003
2014-06-11,2014,6,11,Wednesday,23,2014-23,194.9,195.12,194.48,194.92,68772000.0,172.24,-0.0034766578107429114,170.58714285714294,166.8308
2014-06-12,2014,6,12,Thursday,23,2014-23,194.69,194.8,193.11,193.54,106350000.0,171.02,-0.00707971924215689,170.83642857142863,166.9242
2014-06-13,2014,6,13,Friday,23,2014-23,193.92,194.32,193.3,194.13,82017000.0,171.54,0.0030485470953596217,171.07500000000007,167.01700000000005
2014-06-16,2014,6,16,Monday,24,2014-24,193.89,194.7,193.66,194.29,87424000.0,171.68,0.0008240431306167917,171.25000000000006,167.11700000000005
2014-06-17,2014,6,17,Tuesday,24,2014-24,194.02,194.97,193.81,194.83,84834000.0,172.16,0.0027793889361620305,171.46785714285718,167.26600000000005
2014-06-18,2014,6,18,Wednesday,24,2014-24,194.83,196.37,194.4,196.26,105267000.0,173.42,0.007339577365846006,171.7128571428572,167.47660000000008
2014-06-19,2014,6,19,Thursday,24,2014-24,196.43,196.6,195.8,196.48,85929000.0,173.62,0.0011212024907711893,171.95285714285714,167.6778000000001
2014-06-20,2014,6,20,Friday,24,2014-24,196.03,196.1,195.7,195.94,100587000.0,173.97,0.0020301068207599915,172.20428571428573,167.85080000000008
2014-06-23,2014,6,23,Monday,25,2014-25,195.99,196.05,195.52,195.88,70611000.0,173.92,-0.0003061049608474864,172.45785714285716,168.09220000000008
2014-06-24,2014,6,24,Tuesday,25,2014-25,195.53,196.5,194.48,194.7,96237000.0,172.87,-0.006024305683503872,172.61214285714286,168.34180000000012
2014-06-25,2014,6,25,Wednesday,25,2014-25,194.29,195.78,194.25,195.58,82782000.0,173.65,0.004519839239682577,172.74285714285716,168.5818000000001
2014-06-26,2014,6,26,Thursday,25,2014-25,195.61,195.63,194.13,195.44,84312000.0,173.53,-0.0007157060798550496,172.8057142857143,168.7970000000001
2014-06-27,2014,6,27,Friday,25,2014-25,194.98,195.88,194.89,195.82,71445100.0,173.86,0.001944122632114631,172.88000000000002,168.98480000000015
2014-06-30,2014,6,30,Monday,26,2014-26,195.7,196.17,195.53,195.72,70201200.0,173.77,-0.0005105168937473703,172.94642857142858,169.16620000000015
2014-07-01,2014,7,1,Tuesday,26,2014-26,196.2,197.63,196.13,197.03,90470000.0,174.94,0.006693145384952137,173.1392857142857,169.35940000000014
2014-07-02,2014,7,2,Wednesday,26,2014-26,197.05,197.48,196.96,197.23,52475000.0,175.12,0.001014937797989779,173.43214285714285,169.54120000000015
2014-07-03,2014,7,3,Thursday,26,2014-26,197.79,198.29,197.64,198.2,52938800.0,175.98,0.004918189345105128,173.7492857142857,169.74800000000013
2014-07-07,2014,7,7,Monday,27,2014-27,197.82,197.98,197.22,197.51,61696000.0,175.36,-0.0034813685220641544,174.01214285714286,169.93580000000017
2014-07-08,2014,7,8,Tuesday,27,2014-27,197.15,197.22,195.76,196.24,108143000.0,174.24,-0.006429749881467939,174.16071428571428,170.12840000000014
2014-07-09,2014,7,9,Wednesday,27,2014-27,196.73,197.3,196.31,197.12,72992000.0,175.02,0.0044841058271043455,174.275,170.32620000000017
2014-07-10,2014,7,10,Thursday,27,2014-27,195.22,196.86,195.06,196.34,99040000.0,174.33,-0.003957112737521196,174.32571428571427,170.49480000000017
